stop_id,stop_name,stop_lat,stop_lon,stop_desc
STOP_BUS_STN,Autobusni kolodvor,45.162522,18.009741,single pole (terminal)
STOP_KORZO_A,Korzo,45.155627,18.011004,pole A
STOP_KORZO_B,Korzo,45.155669,18.011583,pole B
STOP_TRZNICA_A,Tržnica,45.154322,18.023881,pole A
STOP_TRZNICA_B,Tržnica,45.154594,18.023812,pole B
STOP_BOROVSKA_A,Borovska,45.159809,18.004133,pole A
STOP_BOROVSKA_B,Borovska,45.160097,18.006425,pole B
STOP_KORZO,Korzo,45.155639,18.010985,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_TRZNICA,Tržnica,45.154588,18.023817,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_ZRINSKA,Zrinska,45.158695,18.023264,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_ZRINSKA_A,Zrinska,45.157827,18.020867,pole A
STOP_ZRINSKA_B,Zrinska,45.158023,18.021658,pole B
STOP_BOROVSKA,Borovska,45.160056,18.006554,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_GUPCEVA,Gupčeva,45.160585,18.015926,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_GUPCEVA_A,Gupčeva,45.160589,18.015947,pole A
STOP_GUPCEVA_B,Gupčeva,45.160314,18.015647,pole B
STOP_HEBRANG,Hebrang,45.159425,18.029576,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_COLOSSEUM,Trg. centar Colosseum,45.156777,17.995901,
STOP_BR108_1,108. brigade ZNG I,45.164716,18.014609,single pole
STOP_BR108_2,108. brigade ZNG II,45.164986,18.010038,single pole
STOP_VINOGRADSKA_1,Vinogradska I,45.167746,18.003845,single pole
STOP_VINOGRADSKA_2,Vinogradska II,45.170835,18.003420,single pole
STOP_VINOGRADSKA_3_A,Vinogradska III,45.174769,18.001909,pole A
STOP_VINOGRADSKA_3_B,Vinogradska III,45.174112,18.002297,pole B
STOP_DRAVSKA,Dravska,45.176826,17.995970,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_DUNAVSKA,Dunavska,45.175448,17.991783,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_VINOGORSKA_1,Vinogorska I,45.181810,17.992237,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_VINOGORSKA_2,Vinogorska II,45.182385,17.996576,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_VINOGORSKA_3,Vinogorska III,45.183924,18.003781,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KERDENI_1,Kerdeni I,45.185395,18.009371,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KERDENI_2,Kerdeni II,45.189356,18.018565,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KERDENI_3,Kerdeni III,45.190264,18.027642,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_TRG_SV_ANTUNA,Trg sv. Antuna,45.190188,18.029530,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_UL_SV_ANTUNA_1,Ulica sv. Antuna I,45.179439,18.020687,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_UL_SV_ANTUNA_2,Ulica sv. Antuna II,45.176154,18.018544,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KUMICICEVA_1,Kumičićeva I,45.173858,18.018340,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KUMICICEVA_2,Kumičićeva II,45.168428,18.018318,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KUMICICEVA_3,Kumičićeva III,45.167195,18.018442,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_VINOGORSKA_S,Vinogorska Š,45.182355,17.996571,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_VINOGORSKA,Vinogorska,45.183889,18.003695,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KERDENI,Kerdeni,45.185379,18.009413,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KOSAREVAC_1,Košarevac I,45.194375,17.996571,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KOSAREVAC_2,Košarevac II,45.184913,17.996721,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KOSAREVAC_3,Košarevac III,45.184336,17.996936,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KOSAREVAC_4,Košarevac IV,45.183791,17.997215,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_PERE_PIRKERA,Pere Pirkera,45.189144,18.020260,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_M_DIZDARA,M. Dizdara,45.189636,18.025796,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_JANISEVAC_1,Janiševac I,45.189021,18.030152,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_JANISEVAC_2,Janiševac II,45.188809,18.028178,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_JANISEVAC_3,Janiševac III,45.191470,18.029573,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_JANISEVAC_4,Janiševac IV,45.189959,18.034787,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_JANISEVAC_5,Janiševac V,45.188024,18.033736,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_JANISEVAC_6,Janiševac VI (Š. Striborova),45.190866,18.037019,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_E_KUMICICA_1,E. Kumičića I,45.167192,18.018512,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_E_KUMICICA_2,E. Kumičića II,45.172886,18.019187,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_SV_ANTUNA_1,Sv. Antuna I,45.176146,18.018565,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_SV_ANTUNA_2,Sv. Antuna II,45.180168,18.021398,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_TRG_SV_ANTUNA_PODVINJE,Trg Sv. Antuna - Podvinje,45.190355,18.029573,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_MARINCI,Marinci,45.181772,17.991346,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_CAVLICKI_6,Čavlički kr. Br. 6,45.190453,18.033725,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_CAVLICKI_TOMICA,Čavlički - Tomica,45.193288,18.038414,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_CAVLICKI_OKRETISTE,Čavlički - Okretište,45.194944,18.039293,PLACEHOLDER LOCATION — replace with actual coordinates
