stop_id,stop_name,stop_lat,stop_lon,stop_desc
STOP_BUS_STN,Autobusni kolodvor,45.162522,18.009741,single pole (terminal)
STOP_KORZO_A,Korzo,45.155627,18.011004,pole A
STOP_KORZO_B,Korzo,45.155669,18.011583,pole B
STOP_TRZNICA_A,Tržnica,45.154322,18.023881,pole A
STOP_TRZNICA_B,Tržnica,45.154594,18.023812,pole B
STOP_BOROVSKA_A,Borovska,45.159809,18.004133,pole A
STOP_BOROVSKA_B,Borovska,45.160097,18.006425,pole B
STOP_ZRINSKA_A,Zrinska,45.157827,18.020867,pole A
STOP_ZRINSKA_B,Zrinska,45.158023,18.021658,pole B
STOP_GUPCEVA_A,Gupčeva,45.160589,18.015947,pole A
STOP_GUPCEVA_B,Gupčeva,45.160314,18.015647,pole B
STOP_HEBRANG,Hebrang,45.159425,18.029576,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_COLOSSEUM,Trg. centar Colosseum,45.160135,17.998523,Supernova Colosseum
STOP_BR108_1,108. brigade ZNG I,45.164716,18.014609,single pole
STOP_BR108_2,108. brigade ZNG II,45.164986,18.010038,single pole
STOP_VINOGRADSKA_1,Vinogradska I,45.167822,18.003780,on Vinogradska cesta
STOP_VINOGRADSKA_2,Vinogradska II,45.170835,18.003420,single pole
STOP_VINOGRADSKA_3_A,Vinogradska III,45.174769,18.001909,pole A
STOP_DRAVSKA,Dravska,45.176826,17.995970,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_DUNAVSKA,Dunavska,45.175448,17.991783,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_VINOGORSKA_1,Vinogorska I,45.181797,17.992239,OSM verified
STOP_VINOGORSKA_2,Vinogorska II,45.182392,17.996583,OSM verified
STOP_VINOGORSKA_3,Vinogorska III,45.183931,18.003757,OSM verified
STOP_KERDENI_1,Kerdeni I,45.185409,18.009421,OSM verified
STOP_KERDENI_2,Kerdeni II,45.189356,18.018565,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KERDENI_3,Kerdeni III,45.190264,18.027642,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_TRG_SV_ANTUNA,Trg sv. Antuna,45.190188,18.029530,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_UL_SV_ANTUNA_1,Ulica sv. Antuna I,45.179440,18.020693,OSM verified
STOP_UL_SV_ANTUNA_2,Ulica sv. Antuna II,45.176154,18.018544,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KUMICICEVA_1,Kumičićeva I,45.173905,18.018340,OSM verified
STOP_KUMICICEVA_2,Kumičićeva II,45.168441,18.018404,OSM verified
STOP_KUMICICEVA_3,Kumičićeva III,45.167195,18.018442,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_VINOGORSKA_S,Vinogorska Š,45.183184,17.998585,L1+ (repositioned)
STOP_VINOGORSKA,Vinogorska,45.185930,18.010411,OSM street
STOP_KERDENI,Kerdeni,45.189996,18.020104,OSM street
STOP_KOSAREVAC_1,Košarevac I,45.185202,17.995537,L1+ (repositioned)
STOP_KOSAREVAC_2,Košarevac II,45.187230,17.995790,OSM street
STOP_KOSAREVAC_3,Košarevac III,45.191730,17.992767,OSM street
STOP_KOSAREVAC_4,Košarevac IV,45.194281,17.995896,OSM street
STOP_PERE_PIRKERA,Pere Pirkera,45.189288,18.000698,OSM street
STOP_M_DIZDARA,M. Dizdara,45.186413,18.001366,OSM street
STOP_JANISEVAC_1,Janiševac I,45.190793,18.029138,L1+ (repositioned)
STOP_JANISEVAC_2,Janiševac II,45.192563,18.029358,L1+ (repositioned)
STOP_JANISEVAC_3,Janiševac III,45.195719,18.030683,L1+ (repositioned)
STOP_JANISEVAC_4,Janiševac IV,45.196160,18.030477,L1+ (repositioned)
STOP_JANISEVAC_5,Janiševac V,45.193062,18.025024,L1+ (repositioned)
STOP_JANISEVAC_6,Janiševac VI (Š. Striborova),45.191428,18.025156,L1+ (repositioned)
STOP_E_KUMICICA_1,E. Kumičića I,45.167192,18.018512,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_E_KUMICICA_2,E. Kumičića II,45.172886,18.019187,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_SV_ANTUNA_1,Sv. Antuna I,45.176146,18.018565,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_SV_ANTUNA_2,Sv. Antuna II,45.180168,18.021398,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_TRG_SV_ANTUNA_PODVINJE,Trg Sv. Antuna - Podvinje,45.190355,18.029573,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_MARINCI,Marinci,45.181772,17.991346,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_CAVLICKI_6,Čavlički kr. Br. 6,45.190453,18.033725,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_CAVLICKI_TOMICA,Čavlički - Tomica,45.193288,18.038414,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_CAVLICKI_OKRETISTE,Čavlički - Okretište,45.194944,18.039293,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_CAVLICKI_61,Čavlički kr. Br. 61,45.194298,18.038789,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_BUDAINKA_1,Budainka (samop.) - Zagrebačka I,45.165532,17.998314,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_BUDAINKA_2,Budainka (škola) - Zagrebačka II,45.167531,17.993637,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_BUDAINKA_3,Budainka - Zagrebačka III,45.171258,17.984659,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_BUDAINKA_4,Budainka - Zagrebačka IV,45.172779,17.981964,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_SJEVERNA_VEZNA,Sjeverna vezna cesta,45.175450,17.979856,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_KOLODVORSKA_1,Kolodvorska I,45.164006,17.999488,OSM verified
STOP_KOLODVORSKA_2,Kolodvorska II,45.164692,17.994011,OSM verified
STOP_POZESKA,Požeška,45.180502,17.982774,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_BECIC_1,Bečic I,45.179803,17.980453,Bečic ul.
STOP_BECIC_2,Bečic II,45.180039,17.977762,Bečic ul.
STOP_M_GETALDICA,Marina Getaldića,45.163622,17.991834,PLACEHOLDER LOCATION — replace with actual coordinates
STOP_JADRANSKA,Jadranska,45.163287,17.996885,PLACEHOLDER LOCATION — replace with actual coordinates
