route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
L0,WEEKDAY,L0_WEEKDAY_0715,Centar (kružna),1,SHP_L0_1
L0,WEEKDAY,L0_WEEKDAY_0820,Centar (kružna),1,SHP_L0_1
L0,WEEKDAY,L0_WEEKDAY_0900,Centar (kružna),0,SHP_L0_0
L0,WEEKDAY,L0_WEEKDAY_0930,Centar (kružna),0,SHP_L0_0
L0,WEEKDAY,L0_WEEKDAY_1040,Centar (kružna),1,SHP_L0_1
L0,WEEKDAY,L0_WEEKDAY_1115,Centar (kružna),0,SHP_L0_0
L0,WEEKDAY,L0_WEEKDAY_1250,Centar (kružna),0,SHP_L0_0
L0,WEEKDAY,L0_WEEKDAY_1425,Centar (kružna),0,SHP_L0_0
L0,WEEKDAY,L0_WEEKDAY_1450,Centar (kružna),0,SHP_L0_0
L0,WEEKDAY,L0_WEEKDAY_1615,Centar (kružna),1,SHP_L0_1
L0,WEEKDAY,L0_WEEKDAY_1700,Centar (kružna),0,SHP_L0_0
L0,WEEKDAY,L0_WEEKDAY_1800,Centar (kružna),1,SHP_L0_1
L0,WEEKDAY,L0_WEEKDAY_1830,Centar (kružna),1,SHP_L0_1
L0,WEEKDAY,L0_WEEKDAY_1855,Centar (kružna),0,SHP_L0_0
L0,WEEKDAY,L0_WEEKDAY_2030,Centar (kružna),1,SHP_L0_1
L0,WEEKDAY,L0_WEEKDAY_2120,Centar (kružna),0,SHP_L0_0
L0,SATURDAY,L0_SATURDAY_0715,Centar (kružna),1,SHP_L0_1
L0,SATURDAY,L0_SATURDAY_0800,Centar (kružna),1,SHP_L0_1
L0,SATURDAY,L0_SATURDAY_0900,Centar (kružna),1,SHP_L0_1
L0,SATURDAY,L0_SATURDAY_0930,Centar (kružna),0,SHP_L0_0
L0,SATURDAY,L0_SATURDAY_1130,Centar (kružna),1,SHP_L0_1
L0,SATURDAY,L0_SATURDAY_1300,Centar (kružna),0,SHP_L0_0
L0,SATURDAY,L0_SATURDAY_1435,Centar (kružna),0,SHP_L0_0
L1,WEEKDAY,L1_WEEKDAY_0600,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_0700,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_1100,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_1200,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_1310,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_1410,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_1610,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_1830,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_1930,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_0500,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_0900,Vinogorje,0,SHP_L1_0
L1,WEEKDAY,L1_WEEKDAY_2110,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_0500,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_0630,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_0730,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_0900,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_1000,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_1200,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_1410,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_1610,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_1910,Vinogorje,0,SHP_L1_0
L1,SATURDAY,L1_SATURDAY_2110,Vinogorje,0,SHP_L1_0
L1,SUNDAY,L1_SUNDAY_0600,Vinogorje,0,SHP_L1_0
L1,SUNDAY,L1_SUNDAY_1000,Vinogorje,0,SHP_L1_0
L1,SUNDAY,L1_SUNDAY_1310,Vinogorje,0,SHP_L1_0
L1,SUNDAY,L1_SUNDAY_1610,Vinogorje,0,SHP_L1_0
L1,SUNDAY,L1_SUNDAY_2000,Vinogorje,0,SHP_L1_0
L1P,WEEKDAY,L1P_WEEKDAY_0655,Vinogorska – Janiševac,0,SHP_L1P_0
L1P,WEEKDAY,L1P_WEEKDAY_0855,Vinogorska – Janiševac,0,SHP_L1P_0
L1P,WEEKDAY,L1P_WEEKDAY_1155,Vinogorska – Janiševac,0,SHP_L1P_0
L1P,WEEKDAY,L1P_WEEKDAY_1340,Vinogorska – Janiševac,0,SHP_L1P_0
L1P,SATURDAY,L1P_SATURDAY_0730,Vinogorska – Janiševac,0,SHP_L1P_0
L1P,SATURDAY,L1P_SATURDAY_1000,Vinogorska – Janiševac,0,SHP_L1P_0
L1P,SATURDAY,L1P_SATURDAY_1200,Vinogorska – Janiševac,0,SHP_L1P_0
L2,WEEKDAY,L2_WEEKDAY_0550,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_0650,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_0800,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_1000,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_1150,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_1330,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_1510,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_1730,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_1910,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_2010,Podvinje – Čavlički,0,SHP_L2_0
L2,WEEKDAY,L2_WEEKDAY_2210,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_0550,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_0700,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_0800,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_0930,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_1100,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_1310,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_1510,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_1730,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_2010,Podvinje – Čavlički,0,SHP_L2_0
L2,SATURDAY,L2_SATURDAY_2210,Podvinje – Čavlički,0,SHP_L2_0
L2,SUNDAY,L2_SUNDAY_0800,Podvinje – Čavlički,0,SHP_L2_0
L2,SUNDAY,L2_SUNDAY_1210,Podvinje – Čavlički,0,SHP_L2_0
L2,SUNDAY,L2_SUNDAY_1510,Podvinje – Čavlički,0,SHP_L2_0
L2,SUNDAY,L2_SUNDAY_1810,Podvinje – Čavlički,0,SHP_L2_0
L3,WEEKDAY,L3_WEEKDAY_0800,Brodski Varoš – Bečic,0,SHP_L3_0
L3,WEEKDAY,L3_WEEKDAY_0900,Brodski Varoš – Bečic,0,SHP_L3_0
L3,WEEKDAY,L3_WEEKDAY_1155,Brodski Varoš – Bečic,0,SHP_L3_0
L3,WEEKDAY,L3_WEEKDAY_1310,Brodski Varoš – Bečic,0,SHP_L3_0
L3,WEEKDAY,L3_WEEKDAY_1410,Brodski Varoš – Bečic,0,SHP_L3_0
L3,WEEKDAY,L3_WEEKDAY_1510,Brodski Varoš – Bečic,0,SHP_L3_0
L3,WEEKDAY,L3_WEEKDAY_1610,Brodski Varoš – Bečic,0,SHP_L3_0
L3,WEEKDAY,L3_WEEKDAY_1800,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_0610,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_0700,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_0800,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_0900,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_1030,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_1200,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_1310,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_1430,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_1800,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SATURDAY,L3_SATURDAY_1915,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SUNDAY,L3_SUNDAY_0700,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SUNDAY,L3_SUNDAY_0900,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SUNDAY,L3_SUNDAY_1200,Brodski Varoš – Bečic,0,SHP_L3_0
L3,SUNDAY,L3_SUNDAY_1700,Brodski Varoš – Bečic,0,SHP_L3_0
L4,WEEKDAY,L4_WEEKDAY_0600,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_0700,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_0800,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_0930,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_1030,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_1150,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_1320,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_1510,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_1615,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_1920,Šestina C,0,SHP_L4_0
L4,WEEKDAY,L4_WEEKDAY_2010,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_0600,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_0700,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_0800,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_1000,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_1150,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_1330,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_1515,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_1710,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_1910,Šestina C,0,SHP_L4_0
L4,SATURDAY,L4_SATURDAY_2010,Šestina C,0,SHP_L4_0
L4,SUNDAY,L4_SUNDAY_0800,Šestina C,0,SHP_L4_0
L4,SUNDAY,L4_SUNDAY_1100,Šestina C,0,SHP_L4_0
L4,SUNDAY,L4_SUNDAY_1310,Šestina C,0,SHP_L4_0
L4,SUNDAY,L4_SUNDAY_1550,Šestina C,0,SHP_L4_0
L4,SUNDAY,L4_SUNDAY_1830,Šestina C,0,SHP_L4_0
L5,WEEKDAY,L5_WEEKDAY_0610,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_0715,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_0800,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_0845,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_1000,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_1150,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_1330,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_1530,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_1730,S. Radića – Jelas,0,SHP_L5_0
L5,WEEKDAY,L5_WEEKDAY_1900,S. Radića – Jelas,0,SHP_L5_0
L5,SATURDAY,L5_SATURDAY_0610,S. Radića – Jelas,0,SHP_L5_0
L5,SATURDAY,L5_SATURDAY_0845,S. Radića – Jelas,0,SHP_L5_0
L5,SATURDAY,L5_SATURDAY_1000,S. Radića – Jelas,0,SHP_L5_0
L5,SATURDAY,L5_SATURDAY_1330,S. Radića – Jelas,0,SHP_L5_0
L5,SATURDAY,L5_SATURDAY_1530,S. Radića – Jelas,0,SHP_L5_0
L5,SATURDAY,L5_SATURDAY_1745,S. Radića – Jelas,0,SHP_L5_0
L5,SATURDAY,L5_SATURDAY_1900,S. Radića – Jelas,0,SHP_L5_0
L5,SUNDAY,L5_SUNDAY_1030,S. Radića – Jelas,0,SHP_L5_0
L5,SUNDAY,L5_SUNDAY_1200,S. Radića – Jelas,0,SHP_L5_0
L5,SUNDAY,L5_SUNDAY_1330,S. Radića – Jelas,0,SHP_L5_0
L5,SUNDAY,L5_SUNDAY_1630,S. Radića – Jelas,0,SHP_L5_0
L5,SUNDAY,L5_SUNDAY_1650,S. Radića – Jelas,0,SHP_L5_0
L5,SUNDAY,L5_SUNDAY_1900,S. Radića – Jelas,0,SHP_L5_0
L6,WEEKDAY,L6_WEEKDAY_0615,Bjeliš,0,SHP_L6_0
L6,WEEKDAY,L6_WEEKDAY_0715,Bjeliš,0,SHP_L6_0
L6,WEEKDAY,L6_WEEKDAY_0915,Bjeliš,0,SHP_L6_0
L6,WEEKDAY,L6_WEEKDAY_1215,Bjeliš,0,SHP_L6_0
L6,WEEKDAY,L6_WEEKDAY_1315,Bjeliš,0,SHP_L6_0
L6,WEEKDAY,L6_WEEKDAY_1405,Bjeliš,0,SHP_L6_0
L6,WEEKDAY,L6_WEEKDAY_1515,Bjeliš,0,SHP_L6_0
L6,WEEKDAY,L6_WEEKDAY_1915,Bjeliš,0,SHP_L6_0
L6,SATURDAY,L6_SATURDAY_0615,Bjeliš,0,SHP_L6_0
L6,SATURDAY,L6_SATURDAY_0715,Bjeliš,0,SHP_L6_0
L6,SATURDAY,L6_SATURDAY_0915,Bjeliš,0,SHP_L6_0
L6,SATURDAY,L6_SATURDAY_1215,Bjeliš,0,SHP_L6_0
L6,SATURDAY,L6_SATURDAY_1515,Bjeliš,0,SHP_L6_0
L6,SATURDAY,L6_SATURDAY_1730,Bjeliš,0,SHP_L6_0
L6,SATURDAY,L6_SATURDAY_1750,Bjeliš,0,SHP_L6_0
L6,SUNDAY,L6_SUNDAY_0915,Bjeliš,0,SHP_L6_0
L6,SUNDAY,L6_SUNDAY_1215,Bjeliš,0,SHP_L6_0
L6,SUNDAY,L6_SUNDAY_1315,Bjeliš,0,SHP_L6_0
L6,SUNDAY,L6_SUNDAY_1515,Bjeliš,0,SHP_L6_0
