stop_id,stop_name,stop_lat,stop_lon,notes
STOP_BUS_STN,Autobusni kolodvor,45.16252245250633,18.009741285291053,single pole (terminal)
STOP_KORZO_A,Korzo,45.155635,18.010880,pole A
STOP_KORZO_B,Korzo,45.15574674859119,18.011571155586747,pole B (tagged on Google Maps)
STOP_TRZNICA_A,Tržnica,45.1542818339723,18.02391313386802,pole A
STOP_TRZNICA_B,Tržnica,45.15462786712062,18.02383827162188,pole B
STOP_ZRINSKA_A,Zrinska,45.15781714655771,18.020880042444407,pole A
STOP_ZRINSKA_B,Zrinska,45.158028034693544,18.021753101479977,pole B
STOP_BOROVSKA_A,Borovska,45.159808654552705,18.00413340415062,pole A
STOP_BOROVSKA_B,Borovska,45.16009660589436,18.006425351758246,pole B
STOP_GUPCEVA_A,Gupčeva,45.16058009635365,18.015981149401703,pole A
STOP_GUPCEVA_B,Gupčeva,45.16061508511969,18.01577327820051,pole B
STOP_HEBRANG,Hebrang,XXXXX,XXXXX,
STOP_COLOSSEUM,Trg. centar Colosseum,45.159460,17.997133,
STOP_BR108_1,108. brigade ZNG I,XXXXX,XXXXX,
STOP_BR108_2,108. brigade ZNG II,XXXXX,XXXXX,
STOP_VINOGRADSKA_1,Vinogradska I,XXXXX,XXXXX,
STOP_VINOGRADSKA_2,Vinogradska II,XXXXX,XXXXX,
STOP_VINOGRADSKA_3,Vinogradska III,XXXXX,XXXXX,
STOP_DRAVSKA,Dravska,XXXXX,XXXXX,
STOP_DUNAVSKA,Dunavska,XXXXX,XXXXX,
STOP_VINOGORSKA_1,Vinogorska I,XXXXX,XXXXX,
STOP_VINOGORSKA_2,Vinogorska II,XXXXX,XXXXX,
STOP_VINOGORSKA_3,Vinogorska III,XXXXX,XXXXX,
STOP_KERDENI_1,Kerdeni I,XXXXX,XXXXX,
STOP_KERDENI_2,Kerdeni II,XXXXX,XXXXX,
STOP_KERDENI_3,Kerdeni III,XXXXX,XXXXX,
STOP_TRG_SV_ANTUNA,Trg sv. Antuna,XXXXX,XXXXX,
STOP_UL_SV_ANTUNA_1,Ulica sv. Antuna I,XXXXX,XXXXX,
STOP_UL_SV_ANTUNA_2,Ulica sv. Antuna II,XXXXX,XXXXX,
STOP_KUMICICEVA_1,Kumičićeva I,XXXXX,XXXXX,
STOP_KUMICICEVA_2,Kumičićeva II,XXXXX,XXXXX,
STOP_KUMICICEVA_3,Kumičićeva III,XXXXX,XXXXX,
STOP_VINOGORSKA_S,Vinogorska Š,XXXXX,XXXXX,
STOP_VINOGORSKA,Vinogorska,XXXXX,XXXXX,
STOP_KERDENI,Kerdeni,XXXXX,XXXXX,
STOP_KOSAREVAC_1,Košarevac I,XXXXX,XXXXX,
STOP_KOSAREVAC_2,Košarevac II,XXXXX,XXXXX,
STOP_KOSAREVAC_3,Košarevac III,XXXXX,XXXXX,
STOP_KOSAREVAC_4,Košarevac IV,XXXXX,XXXXX,
STOP_PERE_PIRKERA,Pere Pirkera,XXXXX,XXXXX,
STOP_M_DIZDARA,M. Dizdara,XXXXX,XXXXX,
STOP_JANISEVAC_1,Janiševac I,XXXXX,XXXXX,
STOP_JANISEVAC_2,Janiševac II,XXXXX,XXXXX,
STOP_JANISEVAC_3,Janiševac III,XXXXX,XXXXX,
STOP_JANISEVAC_4,Janiševac IV,XXXXX,XXXXX,
STOP_JANISEVAC_5,Janiševac V,XXXXX,XXXXX,
STOP_JANISEVAC_6,Janiševac VI (Š. Striborova),XXXXX,XXXXX,
STOP_E_KUMICICA_1,E. Kumičića I,XXXXX,XXXXX,
STOP_E_KUMICICA_2,E. Kumičića II,XXXXX,XXXXX,
STOP_SV_ANTUNA_1,Sv. Antuna I,XXXXX,XXXXX,
STOP_SV_ANTUNA_2,Sv. Antuna II,XXXXX,XXXXX,
STOP_TRG_SV_ANTUNA_PODVINJE,Trg Sv. Antuna - Podvinje,XXXXX,XXXXX,
STOP_MARINCI,Marinci,XXXXX,XXXXX,
STOP_CAVLICKI_6,Čavlički kr. Br. 6,XXXXX,XXXXX,
STOP_CAVLICKI_TOMICA,Čavlički - Tomica,XXXXX,XXXXX,
STOP_CAVLICKI_OKRETISTE,Čavlički - Okretište,XXXXX,XXXXX,
STOP_CAVLICKI_61,Čavlički kr. Br. 61,XXXXX,XXXXX,
STOP_BUDAINKA_1,Budainka (samop.) - Zagrebačka I,XXXXX,XXXXX,
STOP_BUDAINKA_2,Budainka (škola) - Zagrebačka II,XXXXX,XXXXX,
STOP_BUDAINKA_3,Budainka - Zagrebačka III,XXXXX,XXXXX,
STOP_BUDAINKA_4,Budainka - Zagrebačka IV,XXXXX,XXXXX,
STOP_SJEVERNA_VEZNA,Sjeverna vezna cesta,XXXXX,XXXXX,
STOP_KOLODVORSKA_1,Kolodvorska I,XXXXX,XXXXX,
STOP_KOLODVORSKA_2,Kolodvorska II,XXXXX,XXXXX,
STOP_POZESKA,Požeška,XXXXX,XXXXX,
STOP_BECIC_1,Bečic I,XXXXX,XXXXX,
STOP_BECIC_2,Bečic II,XXXXX,XXXXX,
STOP_M_GETALDICA,Marina Getaldića,XXXXX,XXXXX,
STOP_JADRANSKA,Jadranska,XXXXX,XXXXX,
STOP_OSJECKA_1,Osječka I,XXXXX,XXXXX,
STOP_OSJECKA_2,Osječka II,XXXXX,XXXXX,
STOP_OSJECKA_3,Osječka III,XXXXX,XXXXX,
STOP_OSJECKA_4,Osječka IV,XXXXX,XXXXX,
STOP_V_DAUS_1,Vilme Daus I,XXXXX,XXXXX,
STOP_V_DAUS_2,Vilme Daus II,XXXXX,XXXXX,
STOP_M_TURCINOVICA,Mirka Turčinovića,XXXXX,XXXXX,
STOP_MAJSTOROVICA,Nas. M. Majstorovića,XXXXX,XXXXX,
STOP_V_DOSENA,Vida Došena,XXXXX,XXXXX,
STOP_J_BASICA,Josipa Bašića,XXXXX,XXXXX,
STOP_BRANIMIROVA,Branimirova,XXXXX,XXXXX,
STOP_SV_N_TAVELICA,Sv. Nikole Tavelića,XXXXX,XXXXX,
STOP_P_SUBICA_1,Pavla Šubića I,XXXXX,XXXXX,
STOP_P_SUBICA_2,Pavla Šubića II,XXXXX,XXXXX,
STOP_GARDIJSKE_3,3. gardijske brigade,XXXXX,XXXXX,
STOP_I_VELIKANOVICA,Ivana Velikanovića,XXXXX,XXXXX,
STOP_A_JARICA,Augustina Jarića,XXXXX,XXXXX,
STOP_S_RADICA_1,Stjepana Radića I,XXXXX,XXXXX,
STOP_S_RADICA_2,Stjepana Radića II,XXXXX,XXXXX,
STOP_S_RADICA_3,Stjepana Radića III,XXXXX,XXXXX,
STOP_S_RADICA_4,Stjepana Radića IV,XXXXX,XXXXX,
STOP_T_BAKACA_1,Tome Bakača I,XXXXX,XXXXX,
STOP_T_BAKACA_2,Tome Bakača II,XXXXX,XXXXX,
STOP_T_BAKACA_3,Tome Bakača III,XXXXX,XXXXX,
STOP_MJ_ZAGORKE,Marije Jurić Zagorke,XXXXX,XXXXX,
STOP_BJELIS,Bjeliš,XXXXX,XXXXX,
STOP_F_FILIPOVICA_1,Ferde Filipovića I,XXXXX,XXXXX,
STOP_F_FILIPOVICA_2,Ferde Filipovića II,XXXXX,XXXXX,
STOP_SV_LOVRE,Sv. Lovre,XXXXX,XXXXX,
STOP_DRVNA_IND,Drvna industrija,XXXXX,XXXXX,
