date,service_id,exception_type
20260604,SUNDAY,1
20260604,WEEKDAY,2
20260622,SUNDAY,1
20260622,WEEKDAY,2
20260623,SATURDAY,1
20260623,WEEKDAY,2
20260624,SATURDAY,1
20260624,WEEKDAY,2
20260625,SATURDAY,1
20260625,WEEKDAY,2
20260626,SATURDAY,1
20260626,WEEKDAY,2
20260629,SATURDAY,1
20260629,WEEKDAY,2
20260630,SATURDAY,1
20260630,WEEKDAY,2
20260701,SATURDAY,1
20260701,WEEKDAY,2
20260702,SATURDAY,1
20260702,WEEKDAY,2
20260703,SATURDAY,1
20260703,WEEKDAY,2
20260706,SATURDAY,1
20260706,WEEKDAY,2
20260707,SATURDAY,1
20260707,WEEKDAY,2
20260708,SATURDAY,1
20260708,WEEKDAY,2
20260709,SATURDAY,1
20260709,WEEKDAY,2
20260710,SATURDAY,1
20260710,WEEKDAY,2
20260713,SATURDAY,1
20260713,WEEKDAY,2
20260714,SATURDAY,1
20260714,WEEKDAY,2
20260715,SATURDAY,1
20260715,WEEKDAY,2
20260716,SATURDAY,1
20260716,WEEKDAY,2
20260717,SATURDAY,1
20260717,WEEKDAY,2
20260720,SATURDAY,1
20260720,WEEKDAY,2
20260721,SATURDAY,1
20260721,WEEKDAY,2
20260722,SATURDAY,1
20260722,WEEKDAY,2
20260723,SATURDAY,1
20260723,WEEKDAY,2
20260724,SATURDAY,1
20260724,WEEKDAY,2
20260727,SATURDAY,1
20260727,WEEKDAY,2
20260728,SATURDAY,1
20260728,WEEKDAY,2
20260729,SATURDAY,1
20260729,WEEKDAY,2
20260730,SATURDAY,1
20260730,WEEKDAY,2
20260731,SATURDAY,1
20260731,WEEKDAY,2
20260803,SATURDAY,1
20260803,WEEKDAY,2
20260804,SATURDAY,1
20260804,WEEKDAY,2
20260805,SUNDAY,1
20260805,WEEKDAY,2
20260806,SATURDAY,1
20260806,WEEKDAY,2
20260807,SATURDAY,1
20260807,WEEKDAY,2
20260810,SATURDAY,1
20260810,WEEKDAY,2
20260811,SATURDAY,1
20260811,WEEKDAY,2
20260812,SATURDAY,1
20260812,WEEKDAY,2
20260813,SATURDAY,1
20260813,WEEKDAY,2
20260814,SATURDAY,1
20260814,WEEKDAY,2
20260815,SATURDAY,2
20260815,SUNDAY,1
20260817,SATURDAY,1
20260817,WEEKDAY,2
20260818,SATURDAY,1
20260818,WEEKDAY,2
20260819,SATURDAY,1
20260819,WEEKDAY,2
20260820,SATURDAY,1
20260820,WEEKDAY,2
20260821,SATURDAY,1
20260821,WEEKDAY,2
20260824,SATURDAY,1
20260824,WEEKDAY,2
20260825,SATURDAY,1
20260825,WEEKDAY,2
20260826,SATURDAY,1
20260826,WEEKDAY,2
20260827,SATURDAY,1
20260827,WEEKDAY,2
20260828,SATURDAY,1
20260828,WEEKDAY,2
20260831,SATURDAY,1
20260831,WEEKDAY,2
20260901,SATURDAY,1
20260901,WEEKDAY,2
20260902,SATURDAY,1
20260902,WEEKDAY,2
20260903,SATURDAY,1
20260903,WEEKDAY,2
20260904,SATURDAY,1
20260904,WEEKDAY,2
20261118,SUNDAY,1
20261118,WEEKDAY,2
20261224,SATURDAY,1
20261224,WEEKDAY,2
20261225,SUNDAY,1
20261225,WEEKDAY,2
20261226,SATURDAY,2
20261226,SUNDAY,1
20261228,SATURDAY,1
20261228,WEEKDAY,2
20261229,SATURDAY,1
20261229,WEEKDAY,2
20261230,SATURDAY,1
20261230,WEEKDAY,2
20261231,SATURDAY,1
20261231,WEEKDAY,2
20270101,SUNDAY,1
20270101,WEEKDAY,2
20270104,SATURDAY,1
20270104,WEEKDAY,2
20270105,SATURDAY,1
20270105,WEEKDAY,2
20270106,SUNDAY,1
20270106,WEEKDAY,2
20270107,SATURDAY,1
20270107,WEEKDAY,2
20270322,SATURDAY,1
20270322,WEEKDAY,2
20270323,SATURDAY,1
20270323,WEEKDAY,2
20270324,SATURDAY,1
20270324,WEEKDAY,2
20270325,SATURDAY,1
20270325,WEEKDAY,2
20270326,SATURDAY,1
20270326,WEEKDAY,2
20270329,SUNDAY,1
20270329,WEEKDAY,2
20270330,SATURDAY,1
20270330,WEEKDAY,2
20270501,SATURDAY,2
20270501,SUNDAY,1
20270527,SUNDAY,1
20270527,WEEKDAY,2
